AnnoA;AteneoNOME;AteneoCOD;SESSO;Isc
2014/2015;Urbino;4101;F;8567
2014/2015;Urbino;4101;M;5414
2014/2015;Venezia Iuav;2702;F;2275
2014/2015;Venezia Iuav;2702;M;2243
2014/2015;Verona;2301;F;14228
2014/2015;Verona;2301;M;7851
2013/2014;Aosta;701;F;836
2013/2014;Aosta;701;M;325
2013/2014;Bari;7201;F;32114
2013/2014;Bari;7201;M;18059
2013/2014;Bari Politecnico;7202;F;3389
2013/2014;Bari Politecnico;7202;M;7317
2013/2014;Basilicata;7601;F;4236
2013/2014;Basilicata;7601;M;3216
2013/2014;Benevento Giustino Fortunato - telematica;6202;F;194
2013/2014;Benevento Giustino Fortunato - telematica;6202;M;350
2013/2014;Bergamo;1601;F;9014
2013/2014;Bergamo;1601;M;5356
2013/2014;Bologna;3701;F;43530
2013/2014;Bologna;3701;M;34115
2013/2014;Bolzano;2101;F;1824
2013/2014;Bolzano;2101;M;828
2013/2014;Bra Scienze Gastronomiche;401;F;145
2013/2014;Bra Scienze Gastronomiche;401;M;119
2013/2014;Brescia;1701;F;6717
2013/2014;Brescia;1701;M;7490
2013/2014;Ca' Foscari Venezia;2701;F;12579
2013/2014;Ca' Foscari Venezia;2701;M;6792
2013/2014;Cagliari;9201;F;16764
2013/2014;Cagliari;9201;M;11049
2013/2014;Calabria;7801;F;18309
2013/2014;Calabria;7801;M;12466
2013/2014;Camerino;4302;F;3553
2013/2014;Camerino;4302;M;3357
2013/2014;Casamassima – LUM G. Degennaro;7203;F;518
2013/2014;Casamassima – LUM G. Degennaro;7203;M;782
2013/2014;Cassino;6001;F;4780
2013/2014;Cassino;6001;M;3857
2013/2014;Castellanza LIUC;1201;F;665
2013/2014;Castellanza LIUC;1201;M;1092
2013/2014;Catania;8701;F;30276
2013/2014;Catania;8701;M;19449
2013/2014;Catanzaro;7901;F;6383
2013/2014;Catanzaro;7901;M;4061
2013/2014;Chieti e Pescara;6901;F;18525
2013/2014;Chieti e Pescara;6901;M;10055
2013/2014;Enna KORE;8601;F;3583
2013/2014;Enna KORE;8601;M;2443
2013/2014;Ferrara;3801;F;8738
2013/2014;Ferrara;3801;M;7174
2013/2014;Firenze;4801;F;29994
2013/2014;Firenze;4801;M;21087
2013/2014;Firenze IUL - telematica;4804;F;18
2013/2014;Firenze IUL - telematica;4804;M;3
2013/2014;Foggia;7101;F;6123
2013/2014;Foggia;7101;M;3507
2013/2014;Genova;1001;F;18105
2013/2014;Genova;1001;M;14604
2013/2014;Insubria;1202;F;4783
2013/2014;Insubria;1202;M;3742
2013/2014;L'Aquila;6601;F;13449
2013/2014;L'Aquila;6601;M;10512
2013/2014;Macerata;4301;F;6950
2013/2014;Macerata;4301;M;2899
2013/2014;Marche;4201;F;6996
2013/2014;Marche;4201;M;8681
2013/2014;Messina;8301;F;16935
2013/2014;Messina;8301;M;9668
2013/2014;Milano;1501;F;35579
2013/2014;Milano;1501;M;24838
2013/2014;Milano Bicocca;1509;F;19930
2013/2014;Milano Bicocca;1509;M;12242
2013/2014;Milano Bocconi;1503;F;6634
2013/2014;Milano Bocconi;1503;M;6907
2013/2014;Milano Cattolica;1504;F;23745
2013/2014;Milano Cattolica;1504;M;13045
2013/2014;Milano IULM;1505;F;2935
2013/2014;Milano IULM;1505;M;1263
2013/2014;Milano Politecnico;1502;F;13294
2013/2014;Milano Politecnico;1502;M;26507
2013/2014;Milano San Raffaele;1508;F;1146
2013/2014;Milano San Raffaele;1508;M;855
2013/2014;Modena e Reggio Emilia;3601;F;10633
2013/2014;Modena e Reggio Emilia;3601;M;8942
2013/2014;Molise;7001;F;4332
2013/2014;Molise;7001;M;2994
2013/2014;Napoli Benincasa;6304;F;7230
2013/2014;Napoli Benincasa;6304;M;1241
2013/2014;Napoli Federico II;6301;F;46402
2013/2014;Napoli Federico II;6301;M;35752
2013/2014;Napoli L'Orientale;6303;F;8131
2013/2014;Napoli L'Orientale;6303;M;2285
2013/2014;Napoli Parthenope;6302;F;6658
2013/2014;Napoli Parthenope;6302;M;8505
2013/2014;Napoli Pegaso - telematica;6307;F;3028
2013/2014;Napoli Pegaso - telematica;6307;M;5789
2013/2014;Napoli Vanvitelli;6306;F;15541
2013/2014;Napoli Vanvitelli;6306;M;11137
2013/2014;Novedrate e-Campus - telematica;1301;F;3132
2013/2014;Novedrate e-Campus - telematica;1301;M;3590
2013/2014;Padova;2801;F;32174
2013/2014;Padova;2801;M;26231
2013/2014;Palermo;8201;F;26338
2013/2014;Palermo;8201;M;18038
2013/2014;Parma;3401;F;14193
2013/2014;Parma;3401;M;10841
2013/2014;Pavia;1801;F;11884
2013/2014;Pavia;1801;M;9654
2013/2014;Perugia;5401;F;12950
2013/2014;Perugia;5401;M;9970
2013/2014;Perugia Stranieri;5403;F;708
2013/2014;Perugia Stranieri;5403;M;392
2013/2014;Piemonte Orientale;201;F;6136
2013/2014;Piemonte Orientale;201;M;3962
2013/2014;Pisa;5001;F;23402
2013/2014;Pisa;5001;M;21728
2013/2014;Reggio Calabria;8001;F;3810
2013/2014;Reggio Calabria;8001;M;3761
2013/2014;Reggio Calabria - Dante Alighieri;8003;F;646
2013/2014;Reggio Calabria - Dante Alighieri;8003;M;120
2013/2014;Roma  Mercatorum - telematica;5814;F;91
2013/2014;Roma  Mercatorum - telematica;5814;M;160
2013/2014;Roma Biomedico;5808;F;941
2013/2014;Roma Biomedico;5808;M;626
2013/2014;Roma Europea;5812;F;547
2013/2014;Roma Europea;5812;M;340
2013/2014;Roma Foro Italico;5806;F;683
2013/2014;Roma Foro Italico;5806;M;1524
2013/2014;Roma La Sapienza;5801;F;62420
2013/2014;Roma La Sapienza;5801;M;44568
2013/2014;Roma Link Campus;5817;F;400
2013/2014;Roma Link Campus;5817;M;787
2013/2014;Roma Luiss;5805;F;3888
2013/2014;Roma Luiss;5805;M;3736
2013/2014;Roma LUMSA;5803;F;4075
2013/2014;Roma LUMSA;5803;M;1948
2013/2014;Roma Marconi - telematica;5810;F;4394
2013/2014;Roma Marconi - telematica;5810;M;7929
2013/2014;Roma San Raffaele - telematica;5816;F;356
2013/2014;Roma San Raffaele - telematica;5816;M;609
2013/2014;Roma Tor Vergata;5802;F;15473
2013/2014;Roma Tor Vergata;5802;M;15121
2013/2014;Roma Tre;5807;F;20984
2013/2014;Roma Tre;5807;M;14420
2013/2014;Roma UNICUSANO - telematica;5815;F;4595
2013/2014;Roma UNICUSANO - telematica;5815;M;7317
2013/2014;Roma UNINETTUNO - telematica;5813;F;3315
2013/2014;Roma UNINETTUNO - telematica;5813;M;5279
2013/2014;Roma UNINT;5809;F;833
2013/2014;Roma UNINT;5809;M;365
2013/2014;Roma UNITELMA - telematica;5811;F;787
2013/2014;Roma UNITELMA - telematica;5811;M;892
2013/2014;Salento;7501;F;12185
2013/2014;Salento;7501;M;6692
2013/2014;Salerno;6501;F;21327
2013/2014;Salerno;6501;M;13676
2013/2014;Sannio;6201;F;3226
2013/2014;Sannio;6201;M;2970
2013/2014;Sassari;9001;F;8583
2013/2014;Sassari;9001;M;4748
2013/2014;Siena;5201;F;9286
2013/2014;Siena;5201;M;6490
2013/2014;Siena Stranieri;5202;F;926
2013/2014;Siena Stranieri;5202;M;211
2013/2014;Teramo;6701;F;3779
2013/2014;Teramo;6701;M;2661
2013/2014;Torino;101;F;40558
2013/2014;Torino;101;M;24941
2013/2014;Torino Politecnico;102;F;8269
2013/2014;Torino Politecnico;102;M;20872
2013/2014;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;F;158
2013/2014;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;M;132
2013/2014;Trento;2201;F;8364
2013/2014;Trento;2201;M;8176
2013/2014;Trieste;3201;F;9379
2013/2014;Trieste;3201;M;7208
2013/2014;Tuscia;5601;F;3679
2013/2014;Tuscia;5601;M;3756
2013/2014;Udine;3001;F;8085
2013/2014;Udine;3001;M;7111
2013/2014;Urbino;4101;F;8546
2013/2014;Urbino;4101;M;5424
2013/2014;Venezia Iuav;2702;F;2319
2013/2014;Venezia Iuav;2702;M;2410
2013/2014;Verona;2301;F;14179
2013/2014;Verona;2301;M;7760
2012/2013;Aosta;701;F;875
2012/2013;Aosta;701;M;333
2012/2013;Bari;7201;F;33501
2012/2013;Bari;7201;M;18418
2012/2013;Bari Politecnico;7202;F;3519
2012/2013;Bari Politecnico;7202;M;7667
2012/2013;Basilicata;7601;F;4456
2012/2013;Basilicata;7601;M;3483
2012/2013;Benevento Giustino Fortunato - telematica;6202;F;183
2012/2013;Benevento Giustino Fortunato - telematica;6202;M;303
2012/2013;Bergamo;1601;F;9080
2012/2013;Bergamo;1601;M;5452
2012/2013;Bologna;3701;F;44341
2012/2013;Bologna;3701;M;34260
2012/2013;Bolzano;2101;F;1901
2012/2013;Bolzano;2101;M;858
2012/2013;Bra Scienze Gastronomiche;401;F;142
2012/2013;Bra Scienze Gastronomiche;401;M;126
2012/2013;Brescia;1701;F;6672
2012/2013;Brescia;1701;M;7547
2012/2013;Ca' Foscari Venezia;2701;F;12207
2012/2013;Ca' Foscari Venezia;2701;M;6484
2012/2013;Cagliari;9201;F;17554
2012/2013;Cagliari;9201;M;11419
2012/2013;Calabria;7801;F;18955
2012/2013;Calabria;7801;M;12817
2012/2013;Camerino;4302;F;3716
2012/2013;Camerino;4302;M;3589
2012/2013;Casamassima – LUM G. Degennaro;7203;F;491
2012/2013;Casamassima – LUM G. Degennaro;7203;M;816
2012/2013;Cassino;6001;F;5056
2012/2013;Cassino;6001;M;4087
2012/2013;Castellanza LIUC;1201;F;654
2012/2013;Castellanza LIUC;1201;M;1107
2012/2013;Catania;8701;F;32330
2012/2013;Catania;8701;M;20312
2012/2013;Catanzaro;7901;F;6162
2012/2013;Catanzaro;7901;M;3895
2012/2013;Chieti e Pescara;6901;F;19518
2012/2013;Chieti e Pescara;6901;M;10436
2012/2013;Enna KORE;8601;F;3508
2012/2013;Enna KORE;8601;M;2483
2012/2013;Ferrara;3801;F;9262
2012/2013;Ferrara;3801;M;7397
2012/2013;Firenze;4801;F;30539
2012/2013;Firenze;4801;M;21412
2012/2013;Firenze IUL - telematica;4804;F;19
2012/2013;Firenze IUL - telematica;4804;M;5
2012/2013;Foggia;7101;F;6294
2012/2013;Foggia;7101;M;3732
2012/2013;Genova;1001;F;18946
2012/2013;Genova;1001;M;14932
2012/2013;Insubria;1202;F;4814
2012/2013;Insubria;1202;M;3818
2012/2013;L'Aquila;6601;F;13299
2012/2013;L'Aquila;6601;M;10548
2012/2013;Macerata;4301;F;7263
2012/2013;Macerata;4301;M;3043
2012/2013;Marche;4201;F;7033
2012/2013;Marche;4201;M;8847
2012/2013;Messina;8301;F;18394
2012/2013;Messina;8301;M;10579
2012/2013;Milano;1501;F;35372
2012/2013;Milano;1501;M;24604
2012/2013;Milano Bicocca;1509;F;20254
2012/2013;Milano Bicocca;1509;M;12280
2012/2013;Milano Bocconi;1503;F;6568
2012/2013;Milano Bocconi;1503;M;6890
2012/2013;Milano Cattolica;1504;F;24485
2012/2013;Milano Cattolica;1504;M;13294
2012/2013;Milano IULM;1505;F;2970
2012/2013;Milano IULM;1505;M;1276
2012/2013;Milano Politecnico;1502;F;13075
2012/2013;Milano Politecnico;1502;M;26004
2012/2013;Milano San Raffaele;1508;F;1151
2012/2013;Milano San Raffaele;1508;M;837
2012/2013;Modena e Reggio Emilia;3601;F;10394
2012/2013;Modena e Reggio Emilia;3601;M;8805
2012/2013;Molise;7001;F;4384
2012/2013;Molise;7001;M;3102
2012/2013;Napoli Benincasa;6304;F;7676
2012/2013;Napoli Benincasa;6304;M;1359
2012/2013;Napoli Federico II;6301;F;48000
2012/2013;Napoli Federico II;6301;M;36676
2012/2013;Napoli L'Orientale;6303;F;8082
2012/2013;Napoli L'Orientale;6303;M;2285
2012/2013;Napoli Parthenope;6302;F;6824
2012/2013;Napoli Parthenope;6302;M;8597
2012/2013;Napoli Pegaso - telematica;6307;F;1802
2012/2013;Napoli Pegaso - telematica;6307;M;2867
2012/2013;Napoli Vanvitelli;6306;F;16403
2012/2013;Napoli Vanvitelli;6306;M;11805
2012/2013;Novedrate e-Campus - telematica;1301;F;2756
2012/2013;Novedrate e-Campus - telematica;1301;M;3395
2012/2013;Padova;2801;F;33084
2012/2013;Padova;2801;M;26319
2012/2013;Palermo;8201;F;27991
2012/2013;Palermo;8201;M;18734
2012/2013;Parma;3401;F;15058
2012/2013;Parma;3401;M;11489
2012/2013;Pavia;1801;F;12206
2012/2013;Pavia;1801;M;9670
2012/2013;Perugia;5401;F;14188
2012/2013;Perugia;5401;M;10767
2012/2013;Perugia Stranieri;5403;F;775
2012/2013;Perugia Stranieri;5403;M;449
2012/2013;Piemonte Orientale;201;F;6086
2012/2013;Piemonte Orientale;201;M;3915
2012/2013;Pisa;5001;F;23523
2012/2013;Pisa;5001;M;21665
2012/2013;Reggio Calabria;8001;F;4215
2012/2013;Reggio Calabria;8001;M;4192
2012/2013;Reggio Calabria - Dante Alighieri;8003;F;577
2012/2013;Reggio Calabria - Dante Alighieri;8003;M;114
2012/2013;Roma  Mercatorum - telematica;5814;F;63
2012/2013;Roma  Mercatorum - telematica;5814;M;137
2012/2013;Roma Biomedico;5808;F;920
2012/2013;Roma Biomedico;5808;M;618
2012/2013;Roma Europea;5812;F;569
2012/2013;Roma Europea;5812;M;371
2012/2013;Roma Foro Italico;5806;F;663
2012/2013;Roma Foro Italico;5806;M;1485
2012/2013;Roma La Sapienza;5801;F;66203
2012/2013;Roma La Sapienza;5801;M;46417
2012/2013;Roma Luiss;5805;F;4025
2012/2013;Roma Luiss;5805;M;3728
2012/2013;Roma LUMSA;5803;F;4297
2012/2013;Roma LUMSA;5803;M;2046
2012/2013;Roma Marconi - telematica;5810;F;3885
2012/2013;Roma Marconi - telematica;5810;M;7473
2012/2013;Roma San Raffaele - telematica;5816;F;291
2012/2013;Roma San Raffaele - telematica;5816;M;551
2012/2013;Roma Tor Vergata;5802;F;15965
2012/2013;Roma Tor Vergata;5802;M;15104
2012/2013;Roma Tre;5807;F;21278
2012/2013;Roma Tre;5807;M;14472
2012/2013;Roma UNICUSANO - telematica;5815;F;4093
2012/2013;Roma UNICUSANO - telematica;5815;M;7435
2012/2013;Roma UNINETTUNO - telematica;5813;F;3107
2012/2013;Roma UNINETTUNO - telematica;5813;M;4915
2012/2013;Roma UNINT;5809;F;803
2012/2013;Roma UNINT;5809;M;405
2012/2013;Roma UNITELMA - telematica;5811;F;822
2012/2013;Roma UNITELMA - telematica;5811;M;914
2012/2013;Salento;7501;F;13222
2012/2013;Salento;7501;M;6988
2012/2013;Salerno;6501;F;21977
2012/2013;Salerno;6501;M;13846
2012/2013;Sannio;6201;F;3269
2012/2013;Sannio;6201;M;3002
2012/2013;Sassari;9001;F;9078
2012/2013;Sassari;9001;M;4910
2012/2013;Siena;5201;F;9630
2012/2013;Siena;5201;M;6743
2012/2013;Siena Stranieri;5202;F;788
2012/2013;Siena Stranieri;5202;M;165
2012/2013;Teramo;6701;F;4078
2012/2013;Teramo;6701;M;3010
2012/2013;Torino;101;F;40830
2012/2013;Torino;101;M;24898
2012/2013;Torino Politecnico;102;F;7994
2012/2013;Torino Politecnico;102;M;20064
2012/2013;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;F;184
2012/2013;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;M;142
2012/2013;Trento;2201;F;8476
2012/2013;Trento;2201;M;8080
2012/2013;Trieste;3201;F;9864
2012/2013;Trieste;3201;M;7545
2012/2013;Tuscia;5601;F;3586
2012/2013;Tuscia;5601;M;3657
2012/2013;Udine;3001;F;8361
2012/2013;Udine;3001;M;7263
2012/2013;Urbino;4101;F;8865
2012/2013;Urbino;4101;M;5598
2012/2013;Venezia Iuav;2702;F;2502
2012/2013;Venezia Iuav;2702;M;2681
2012/2013;Verona;2301;F;14638
2012/2013;Verona;2301;M;7986
2011/2012;Aosta;701;F;908
2011/2012;Aosta;701;M;307
2011/2012;Bari;7201;F;35690
2011/2012;Bari;7201;M;19192
2011/2012;Bari Politecnico;7202;F;3656
2011/2012;Bari Politecnico;7202;M;8161
2011/2012;Basilicata;7601;F;4671
2011/2012;Basilicata;7601;M;3709
2011/2012;Benevento Giustino Fortunato - telematica;6202;F;161
2011/2012;Benevento Giustino Fortunato - telematica;6202;M;327
2011/2012;Bergamo;1601;F;9209
2011/2012;Bergamo;1601;M;5642
2011/2012;Bologna;3701;F;45213
2011/2012;Bologna;3701;M;34864
2011/2012;Bolzano;2101;F;1985
2011/2012;Bolzano;2101;M;845
2011/2012;Bra Scienze Gastronomiche;401;F;129
2011/2012;Bra Scienze Gastronomiche;401;M;125
2011/2012;Brescia;1701;F;6755
2011/2012;Brescia;1701;M;7570
2011/2012;Ca' Foscari Venezia;2701;F;11892
2011/2012;Ca' Foscari Venezia;2701;M;6425
2011/2012;Cagliari;9201;F;18890
2011/2012;Cagliari;9201;M;12015
2011/2012;Calabria;7801;F;19668
2011/2012;Calabria;7801;M;13340
2011/2012;Camerino;4302;F;3780
2011/2012;Camerino;4302;M;3812
2011/2012;Casamassima – LUM G. Degennaro;7203;F;480
2011/2012;Casamassima – LUM G. Degennaro;7203;M;812
2011/2012;Cassino;6001;F;5666
2011/2012;Cassino;6001;M;4499
2011/2012;Castellanza LIUC;1201;F;628
2011/2012;Castellanza LIUC;1201;M;1207
2011/2012;Catania;8701;F;33151
2011/2012;Catania;8701;M;20873
2011/2012;Catanzaro;7901;F;6275
2011/2012;Catanzaro;7901;M;3911
2011/2012;Chieti e Pescara;6901;F;20652
2011/2012;Chieti e Pescara;6901;M;11147
2011/2012;Enna KORE;8601;F;3630
2011/2012;Enna KORE;8601;M;2521
2011/2012;Ferrara;3801;F;9776
2011/2012;Ferrara;3801;M;7744
2011/2012;Firenze;4801;F;31569
2011/2012;Firenze;4801;M;22454
2011/2012;Firenze IUL - telematica;4804;F;22
2011/2012;Firenze IUL - telematica;4804;M;6
